Compostos voláteis das cervejas (variáveis independentes),,,,,,Análise sensorial das cervejas (variáveis dependentes),,
geraniol (cis),linalool,myrcene,α-humulene,β-caryophyllene,,citrus,herbal (herbaceous),overall hoppy intensity
108,783,9588,448,993,,,,"4,6"
90,699,2801,135,247,,,,"3,2"
68,527,2018,121,208,,,,"2,6"
62,484,1172,80,136,,,,"1,6"
56,443,875,55,53,,,,"1,5"
186,974,13721,410,606,,,,"4,6"
125,594,2218,136,153,,,,"3,1"
115,582,1327,66,68,,,,"2,5"
85,427,639,44,42,,,,"1,6"
64,321,332,27,26,,,,"1,1"
421,1061,4659,162,269,, ,,"5,0"
337,944,2778,101,157,,,,"4,6"
268,793,2625,93,133,,,,"4,1"
296,943,1678,55,80,,,,"3,0"
292,925,811,45,60,,,,"1,9"
"4,7","70,2","168,1","10,1","1,9",,"1,3","1,0","2,4"
"9,1","102,7",65,"3,1","1,3",,"1,1","1,3","2,4"
"7,6","83,6","40,2","2,2","0,8",,"0,8","1,0","2,2"
"7,8",66,"41,8",1,"0,7",,"1,3","1,1","2,6"
"3,7","58,6","21,5","1,5","0,8",,"0,8","1,3","2,4"
"4,4",45,"17,8","0,9","0,2",,"1,1","0,9","2,4"
"2,5","66,4","52,6","5,8","0,8",,"1,0","1,1","2,2"
,"46,57","19,27","2,49","3,86",,"0,6","0,8","2,1"
,"53,27","40,75","4,36","2,95",,"0,7","1,0","2,5"
,"147,72","35,75","2,43","5,83",,"1,1","0,9","2,9"
,"124,86","33,39","4,87","3,58",,"0,8","0,8","2,5"
12,45,18,"2,5",4,,"0,2","0,8","1,9"
10,61,19,2,3,,"0,5","0,9","2,4"
"3,8","62,4","18,1","0,52","0,07",,,,"1,5"
"3,63",15,14,"0,42","0,06",,,,"1,8"
"3,28","11,6","25,7","0,59","0,1",,,,"2,0"
"2,57","76,8","18,6","0,38","0,09",,,,"1,9"
"2,24","57,5","22,9","0,67","0,07",,,,"2,0"
"1,63","43,3","9,8","0,44","0,04",,,,"1,3"
"5,38","69,6","80,7","1,99","0,19",,,,"1,9"
"5,31","103,5","48,8","1,71","0,25",,,,"2,3"
"2,39","48,9","21,1","2,47","0,26",,,,"2,0"
"1,82","16,3","5,8","0,81","0,12",,,,"1,5"
"2,23","24,3","9,6","1,74","0,19",,,,"1,7"
"2,04","50,69",6,"0,47","1,29",,,,"1,8"
"172,2","1389,9","544,8","36,6","13,9",,"2,7","1,6",
"608,4","1378,8","443,2","24,7","10,1",,"2,8","1,6",
"5,80","79,24","126,07","1,48","3,72",,"0,8","1,7","2,4"
"9,82","141,62","235,81","3,58","9,92",,"1,3","2,0","3,4"
"1,22","163,61","249,75","59,22","30,55",,"1,5","1,5","2,8"
"0,15","48,24","110,46","12,36","5,09",,"0,9","1,5","2,5"
"8,6",84,62,12,"2,8",,"2,2","1,2","2,4"
"10,7",90,124,24,7,,"2,6","1,3","2,7"
"25,6",115,76,27,8,,"3,0","1,8","3,0"
"18,8",95,147,43,"14,9",,"2,8","2,0","3,0"
"19,4",105,98,25,"7,6",,"2,7","2,1","3,2"
"3,1",22,88,19,"6,4",,"1,3","1,4","2,3"
"3,2",24,63,11,3,,"2,0","1,5","2,5"
"6,6",32,85,13,"4,2",,"2,4","1,3","2,6"
8,36,91,15,"5,1",,"1,8","1,0","2,8"
"17,4",36,88,16,"5,9",,"1,7","1,0","3,0"
26,190,100,,,,"1,4","0,8",
30,226,400,,,,"1,1","1,2",
"4,0","48,3","71,5","5,5","9,4",,"0,9","1,1","2,3"
"5,0","72,4","120,7","5,3","8,6",,"1,1","1,1","2,5"
"6,3","108,6","148,1","5,2","8,8",,"1,2","0,9","2,5"
"7,7","193,0","380,9","7,0","12,7",,"1,1","1,3","2,7"
"8,7","132,7","279,7","5,7","9,9",,"1,2","1,4","2,8"
"1,0","12,1","17,4","1,9","3,3",,"1,3","1,6","2,1"
"4,3","43,4","68,8","3,2","6,4",,"1,3","1,7","2,3"
"7,0","98,9","127,2","3,9","8,2",,"1,8","1,9","2,7"
"6,0","103,7","130,2","3,9","8,1",,"1,7","1,6","2,4"
"12,7","207,5","281,7","5,7","11,5",,"2,0","1,8","2,6"
"7,7","50,7","38,7","4,1","7,3",,"0,7","0,7","1,3"
"11,7","67,6","42,3","3,9","7,3",,"0,8","0,9","1,4"
"12,0","77,2","58,4","4,4","8,8",,"1,3","1,1","2,1"
"10,7","65,1","50,5","4,5","8,8",,"1,1","1,0","1,9"
"14,3","149,6","81,7","4,4","9,0",,"1,1","1,0","1,8"
"31,7","219,5","150,7","5,8","14,5",,"1,9","1,3","2,9"
"17,8","38,3","41,1","0,6",,,"1,4","1,3","2,0"
"21,4","53,9","35,2","0,4","0,2",,"1,8","1,8","2,5"
"27,8","71,1","56,9","0,9","0,4",,"2,2","2,3","3,3"
"34,3","104,3","20,5","2,8","2,3",,"2,2","3,3","3,8"
"18,6","23,9",2,,,,"1,4","1,1","2,1"
"45,8","54,7","36,6","0,8","0,3",,"1,6","1,0","2,3"
"56,4","82,9","57,2","0,8","0,4",,"1,5","1,1","2,3"
"66,4","82,1","57,1",1,"0,4",,"1,3","1,0","2,2"
"84,6",56,"227,6","4,3","0,5",,"1,5","1,0","2,2"
144,"139,4","290,2","5,1",1,,"1,7","1,1","2,4"
"67,4","66,9","33,5","0,6","0,1",,"1,4","0,9","2,2"
"46,1","49,8","35,4","0,4",,,"1,6","1,0","2,3"
"181,4","157,8","371,5",8,"2,7",,"1,7","1,1","2,5"
"36,6","40,2",18,"0,4",,,"1,3","0,9","2,1"
"44,8","43,2","4,3","0,1",,,"1,2","0,9","2,0"
"78,3","82,6","58,6","0,8",,,"1,4","1,0","2,2"
"82,6","85,6","54,8","0,6",,,"1,3","0,9","2,1"
"127,6","132,7","57,6","0,4",,,"1,4","1,0","2,4"
"117,2","86,8","11,5","0,4",,,"1,7","1,0","2,4"
"2,7","29,0","37,8","3,0","4,6",,"0,8","2,3","2,8"
"7,9","119,4","55,5","4,4","7,1",,"0,9","0,8","1,9"
"17,5","250,9","203,8","6,3","11,5",,"0,9","1,1","2,3"
"11,7","267,8","252,6","8,1","14,4",,"1,0","0,9","2,1"
"25,6","163,3","102,8","6,5","11,7",,"1,0","0,9","2,0"
"12,9","144,8","108,0","6,2","11,1",,"1,1","0,9","2,2"
"11,2","202,4","222,0","5,7","10,3",,"1,1","1,1","2,5"
"17,9","340,2","275,1","8,3","15,5",,"1,1","0,8","1,9"
"8,2","195,9","162,8","4,1","7,6",,"1,1","0,7","1,9"
"13,8","224,8","233,5","6,3","11,3",,"1,1","0,9","2,3"
"9,2","82,0","61,0","5,0","9,7",,"1,1","1,3","2,7"
"12,3","119,4","100,8","4,5","7,4",,"1,2","0,9","2,3"
"17,8","263,0","282,6","6,3","11,7",,"1,2","1,1","2,5"
"13,9","171,3","184,5","5,6","9,3",,"1,2","0,9","2,5"
"13,8","253,3","277,6","6,5","11,7",,"1,2","1,4","2,8"
"14,7","253,3","285,1","7,1","13,1",,"1,2","1,0","2,2"
"11,8","236,9","275,1","6,3","11,8",,"1,3","0,8","2,2"
"3,9","47,3","71,5","5,5","9,4",,"1,3","0,8","2,3"
"5,2","71,4","120,8","5,2","8,6",,"1,3","1,0","2,8"
"6,2","108,8","148,0","5,2","8,8",,"1,3","0,9","2,7"
"7,7","194,2","380,1","7,0","12,7",,"1,3","1,0","2,5"
"8,6","133,9","280,1","5,7","9,9",,"1,4","1,3","3,0"
"7,2","124,7","143,0","3,6","8,6",,"1,5","1,6","2,2"
"9,7","143,3","100,5","3,9","8,8",,"1,6","1,6","2,3"
"5,7","43,9","89,8","2,6","5,7",,"1,5","1,7","2,4"
"4,6","34,3","41,3","2,2","4,7",,"1,4","1,7","2,3"
"4,8","68,5","70,8","2,6","5,4",,"1,5","1,5","2,2"
"6,4","51,9","59,0","2,6","5,7",,"1,7","1,7","2,3"
"4,8","44,9","33,5","3,7","6,3",,"1,4","1,5","2,1"
"10,3","93,6","107,5","3,7","7,5",,"1,8","1,8","2,5"
"6,1","52,8","53,8","1,8","3,6",,"1,7","1,5","2,3"
"7,1","100,1","127,3","3,9","8,2",,"1,8","1,9","2,7"
"4,2","43,2","68,8","3,2","6,4",,"1,3","1,7","2,3"
"1,1","11,8","17,4","1,9","3,3",,"1,3","1,6","2,1"
"6,1","102,8","130,3","3,9","8,1",,"1,7","1,6","2,4"
"12,5","207,0","282,6","5,7","11,4",,"2,0","1,8","2,6"
"12,7","110,7","90,8","2,4","5,7",,"2,1","1,7","2,8"
"8,3","84,7","69,8","3,9","7,7",,"1,6","1,5","2,3"
"13,6","126,7","78,5","2,7","5,9",,"2,0","2,2","2,8"
"6,6","139,4","144,8","3,1","7,3",,"2,0","1,7","2,5"
"4,9","40,5","41,8","3,8","6,4",,"1,5","1,5","2,1"
"9,9","115,8","95,8","3,0","6,7",,"1,5","1,6","2,3"
"3,6","35,0","29,8","3,1","5,4",,"1,4","1,6","2,2"
"5,6","42,2","31,0","3,0","5,7",,"1,7","1,6","2,3"
"8,2","72,1","67,5","4,3","7,7",,"1,8","1,7","2,5"
"2,3","22,7","31,3","1,9","4,1",,"1,8","1,7","2,3"
"8,5","71,4","50,3","2,5","5,1",,"1,6","1,8","2,4"
"8,7","75,3","51,3","4,4","7,6",,"2,1","2,2","2,9"
"3,8","34,3","32,3","1,5","3,1",,"1,4","1,4","2,1"
"5,5","94,6","109,0","2,9","6,3",,"1,6","1,6","2,3"
"10,5","122,6","100,8","3,4","7,8",,"1,9","2,0","2,8"
"187,2","166,0","112,5","3,3","7,7",,"1,1","0,9","1,7"
"324,8","337,8","159,3","8,2","16,3",,"1,4","1,1","2,2"
"294,2","318,5","212,5","3,6","9,6",,"1,4","1,1","2,3"
"476,4","349,8","187,8","6,9","14,6",,"1,4","1,1","2,1"
"275,2","335,3","162,3","5,6","13,0",,"1,2","1,0","2,0"
"248,6","340,2","180,3","4,7","11,2",,"1,6","1,2","2,4"
"379,8","330,5","157,3","7,0","14,9",,"1,7","1,2","2,5"
"273,5","228,2","107,0","5,8","12,5",,"1,3","1,2","2,1"
"234,2","248,5","205,8","5,0","11,7",,"1,6","1,3","2,5"
"207,9","149,6","168,8","5,3","12,5",,"1,4","1,1","2,2"
"114,6","214,5","235,0","3,9","10,2",,"1,6","1,5","2,8"
"175,6","352,2","193,5","8,9","22,0",,"1,6","1,2","2,3"
"144,6","289,5","82,8","4,1","9,9",,"1,3","1,3","2,1"
"135,9","308,8","96,0","4,8","12,0",,"1,3","1,0","1,9"
"90,6","221,2","66,5","4,0","10,0",,"0,9","1,0","1,7"
"138,3","258,1","100,0","4,1","9,7",,"1,4","1,2","2,2"
"152,9","311,2","139,8","4,0","10,3",,"1,4","1,2","2,3"
"193,2","316,0","174,5","3,6","9,9",,"1,8","1,6","2,9"
"115,3","161,2","52,8","3,9","8,6",,"0,7","0,9","1,4"
"115,3","209,6","88,3","3,4","8,0",,"1,4","1,3","2,1"
"154,3","337,8","153,8","4,7","11,4",,"1,2","1,0","1,8"
"157,6","308,8","91,3","4,7","11,1",,"1,3","1,2","2,1"
"202,2","255,7","74,5","5,7","12,4",,"1,1","1,2","1,9"
"184,6","376,4","100,3","5,4","11,9",,"1,5","1,3","2,4"
"167,6","263,0","162,3","6,2","12,6",,"1,4","1,2","2,1"
"152,6","378,8","193,0","4,4","11,8",,"1,9","1,5","2,9"
"139,3","275,0","87,0","5,1","11,1",,"1,1","1,1","1,8"
"158,3","255,7","124,0","4,8","12,5",,"1,1","1,0","1,9"
"138,3","234,7","137,0","5,3","11,0",,"1,2","1,0","1,9"
"155,9","279,9","62,5","4,6","10,5",,"1,8","1,4","2,7"
"170,6","311,2","90,3","5,6","14,0",,"0,9","1,1","1,7"
"213,6","369,1","166,0","4,8","11,7",,"1,3","1,4","2,2"
"152,3","340,2","125,0","5,3","13,4",,"1,4","1,3","2,3"
"6,4","21,7","3,6","1,9",,,"0,6","0,5","2,4"
"26,3","18,7",11,"1,9",,,"0,8","0,5","2,7"
57,150,7,,,,"1,1","0,3",
33,178,5,,,,"1,4","0,4",
14,72,7,,,,"1,9","0,0",
7,76,9,,,,"0,8","0,8",
31,88,5,,,,"1,0","1,8",
11,121,88,,,,"1,9","1,5",
"4,3","11,7","49,1",,"2,7",,,,"3,3"
"3,9","32,5","68,1",,"1,8",,,,"3,4"
"5,6","24,0","77,2",,"1,4",,,,"2,9"
"52,6","58,4","863,6","7,4","31,9",,"1,8","1,8",
"19,5",40,"117,4","1,4","4,8",,"1,3","1,1",
56,"40,6","408,9","2,8","16,4",,"1,7","1,1",
"5,2",145,"1,7","0,8","1,6",,"1,8","1,7",
"5,9",123,2,"0,8","1,3",,"2,3","1,8",
256,130,11,"0,1","2,0",,"2,3","0,9","3,1"
238,81,11,"0,2","5,3",,"2,0","0,7","3,1"
165,175,10,"0,6","1,3",,"1,9","0,9","3,3"
241,108,10,"0,7","1,1",,"2,3","1,0","3,6"
54,87,"10,6","4,2","1,8",,,,"3,0"
44,79,"9,3","4,5","1,6",,,,"2,9"
36,103,"26,3","5,6","1,6",,,,"3,3"
42,76,21,"8,4","1,9",,,,"2,8"